Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
HBAN,2018-03,-677.00M,1.277B,2.854B,0.29,0.28,2.572B,0,2018-03,326.00M,70.95B,847.00M,0,8.618B,1.995B,385.00M,59.00M,1.084B,475.00M,11.31B,104.25B,1.214B,3.478B,4.849B,92.94B,98.45B,88.09B,489.00M,0,2.201B
HBAN,2017-12,-528.00M,16.44B,3.738B,0.38,0.37,2.577B,0,2017-12,432.00M,69.91B,864.00M,0,9.206B,1.814B,412.00M,-20.00M,1.109B,473.00M,10.81B,104.18B,1.082B,16.44B,5.056B,93.37B,100.15B,86.25B,487.00M,0,2.055B
HBAN,2017-09,-369.96M,2.020B,1.830B,0.24,0.23,2.582B,0,2017-09,275.00M,68.56B,853.29M,0,9.201B,1.730B,365.00M,90.00M,1.088B,493.00M,10.70B,101.99B,1.082B,4.076B,3.643B,91.29B,96.23B,87.65B,507.00M,0,2.016B
HBAN,2017-06,-350.36M,2.333B,4.553B,0.23,0.23,2.591B,0,2017-06,272.00M,68.14B,855.35M,0,8.536B,1.643B,351.00M,79.00M,1.07B,506.00M,10.65B,101.41B,1.082B,4.349B,6.283B,90.75B,95.35B,84.47B,520.00M,0,2.018B
HBAN,2017-03,-390.86M,2.190B,1.263B,0.17,0.17,2.609B,0,2017-03,208.00M,66.94B,852.58M,0,9.279B,1.796B,267.00M,59.00M,1.042B,503.00M,10.44B,100.05B,1.082B,4.208B,2.907B,89.61B,94.21B,86.70B,517.00M,0,2.062B
HBAN,2016-12,-401.00M,2.229B,2.445B,0.18,0.18,2.621B,0,2016-12,239.14M,66.84B,816.00M,0,8.309B,1.827B,313.15M,74.01M,1.069B,485.77M,10.31B,99.71B,1.082B,4.291B,5.489B,89.41B,93.78B,83.92B,499.41M,0,2.277B
HBAN,2016-09,-172.18M,2.646B,2.148B,0.12,0.11,2.614B,0,2016-09,127.00M,69.10B,828.44M,0,8.999B,1.517B,151.75M,24.75M,927.80M,525.54M,10.39B,100.77B,1.082B,4.924B,3.975B,90.38B,94.35B,86.40B,534.58M,0,1.729B
HBAN,2016-06,-134.04M,1.930B,1.957B,0.19,0.19,884.00M,0,2016-06,174.54M,52.71B,596.64M,0,7.930B,0,228.82M,54.28M,776.99M,388.95M,7.507B,73.95B,979.29M,3.659B,3.473B,66.45B,69.53B,62.97B,392.55M,0,0
HBAN,2016-03,-167.29M,1.804B,471.38M,0.21,0.2,896.78M,1.401B,2016-03,171.31M,51.49B,611.60M,0,7.935B,1.452B,226.27M,54.96M,744.93M,370.75M,7.158B,72.64B,780.63M,3.486B,1.923B,65.49B,68.31B,63.56B,374.46M,0,1.682B
HBAN,2015-12,-226.16M,1.576B,14.01M,0.21,0.21,921.08M,1.368B,2015-12,178.35M,50.22B,620.54M,0,7.041B,1.472B,234.29M,55.94M,769.66M,375.42M,6.595B,71.02B,394.26M,3.206B,2.087B,64.42B,66.73B,62.34B,379.34M,0,1.630B
HBAN,2015-09,-139.74M,2.027B,1.454B,0.18,0.18,735.66M,1.383B,2015-09,152.59M,49.74B,620.52M,0,6.359B,1.570B,199.59M,47.00M,748.57M,368.53M,6.583B,70.21B,394.28M,4.012B,3.023B,63.63B,65.39B,60.60B,372.45M,0,1.985B
HBAN,2015-06,-185.65M,2.244B,1.511B,0.23,0.23,741.07M,0,2015-06,196.21M,48.70B,615.44M,0,5.855B,1.510B,260.26M,64.06M,772.46M,367.45M,6.496B,68.85B,394.34M,4.227B,3.022B,62.35B,63.68B,59.33B,377.41M,0,1.983B
HBAN,2015-03,-160.83M,1.921B,2.007B,0.19,0.19,751.03M,0,2015-03,165.85M,48.71B,607.26M,0,5.159B,1.542B,219.86M,54.01M,699.31M,338.59M,6.462B,68.00B,394.39M,3.848B,3.549B,61.54B,63.38B,57.99B,348.80M,0,1.927B
HBAN,2014-12,-222.29M,1.990B,1.339B,0.19,0.19,597.21M,0,2014-12,163.61M,47.47B,616.41M,0,4.336B,1.505B,220.76M,57.15M,706.53M,342.54M,6.328B,66.30B,394.42M,3.797B,3.902B,59.97B,61.49B,56.07B,353.19M,0,1.807B
HBAN,2014-09,-182.02M,9.675B,1.531B,0.18,0.18,607.86M,0,2014-09,155.02M,46.50B,613.21M,0,5.225B,1.161B,208.89M,53.87M,713.68M,352.69M,6.284B,64.33B,394.45M,11.34B,2.692B,58.05B,60.01B,55.35B,362.50M,0,1.665B
HBAN,2014-06,-159.73M,9.779B,1.252B,0.19,0.19,586.91M,0,2014-06,164.62M,45.76B,622.29M,0,6.469B,1.086B,222.09M,57.48M,710.12M,340.37M,6.241B,63.80B,394.47M,11.46B,2.338B,57.56B,59.14B,55.22B,349.89M,0,1.680B
HBAN,2014-03,-201.75M,8.799B,1.398B,0.17,0.17,596.20M,0,2014-03,149.14M,44.02B,628.97M,0,3.157B,1.066B,201.24M,52.10M,685.99M,325.37M,6.176B,61.15B,394.58M,10.45B,2.464B,54.97B,56.77B,52.51B,334.66M,0,1.647B
HBAN,2013-12,-214.01M,1.659B,1.804B,0.18,0.18,537.46M,0,2013-12,158.17M,42.80B,634.66M,0,2.458B,1.060B,210.20M,52.03M,680.54M,324.38M,6.090B,59.47B,394.61M,3.269B,3.412B,53.38B,55.15B,49.96B,334.70M,0,1.610B
HBAN,2013-09,-230.77M,7.617B,660.93M,0.21,0.2,547.78M,1.389B,2013-09,178.84M,42.24B,639.63M,0,2.350B,1.112B,243.88M,65.05M,678.62M,302.06M,5.962B,56.65B,394.61M,9.282B,1.773B,50.69B,52.18B,48.91B,312.43M,0,1.664B
HBAN,2013-06,-283.74M,7.886B,630.40M,0.17,0.17,558.14M,1.353B,2013-06,151.00M,41.47B,626.74M,0,2.253B,1.115B,206.27M,55.27M,676.86M,341.46M,5.784B,56.11B,394.60M,9.590B,1.746B,50.33B,51.72B,48.58B,351.82M,0,1.704B
HBAN,2013-03,-159.96M,8.405B,732.70M,0.17,0.17,568.50M,0,2013-03,153.27M,41.27B,620.83M,0,1.528B,1.060B,208.40M,55.13M,680.79M,334.62M,5.867B,56.05B,394.69M,10.21B,1.792B,50.19B,51.74B,48.40B,344.94M,0,1.805B
HBAN,2012-12,-150.82M,1.720B,13.92M,0.19,0.19,576.42M,0,2012-12,157.55M,40.72B,617.26M,0,2.365B,1.156B,230.08M,72.54M,740.17M,326.39M,5.790B,56.15B,394.73M,3.624B,1.745B,50.36B,51.32B,48.62B,338.04M,0,1.905B
HBAN,2012-09,-84.54M,863.24M,1.260B,0.19,0.19,588.07M,0,2012-09,167.77M,41.32B,590.75M,0,1.501B,1.133B,196.06M,28.29M,691.36M,333.30M,5.808B,56.44B,394.86M,863.24M,2.393B,50.64B,53.99B,48.24B,342.95M,0,2.168B
HBAN,2012-06,-135.98M,1.307B,1.206B,0.17,0.17,603.46M,0,2012-06,152.71M,41.22B,583.06M,0,2.564B,1.128B,201.99M,49.29M,682.78M,324.73M,5.649B,56.62B,394.89M,1.307B,2.334B,50.97B,53.74B,48.64B,339.25M,0,0
HBAN,2012-03,-157.82M,1.263B,1.504B,0.17,0.17,615.40M,0,2012-03,153.27M,40.08B,577.54M,0,2.609B,1.204B,205.45M,52.18M,702.53M,320.40M,5.550B,55.88B,394.95M,1.263B,2.708B,50.33B,53.05B,47.62B,331.93M,0,0
HBAN,2011-12,-173.76M,1.651B,6.782M,0.14,0.14,619.57M,0,2011-12,126.86M,39.58B,564.43M,0,3.098B,1.214B,168.81M,41.95M,638.67M,442.07M,5.418B,54.45B,394.95M,3.819B,2.655B,49.03B,49.53B,46.38B,500.30M,0,0
HBAN,2011-09,-80.40M,2.296B,2.225B,0.16,0.16,632.74M,0,2011-09,143.39M,38.33B,543.32M,0,2.973B,1.161B,182.33M,38.94M,666.40M,266.58M,5.400B,54.98B,371.16M,2.296B,3.386B,49.58B,51.19B,46.19B,269.55M,0,0
HBAN,2011-06,-122.54M,1.101B,2.023B,0.16,0.16,646.13M,0,2011-06,145.92M,38.28B,528.59M,0,3.352B,1.020B,194.90M,48.98M,659.29M,262.50M,5.253B,53.05B,371.15M,1.101B,3.043B,47.80B,50.47B,44.75B,265.87M,0,0
