Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PGR,2015-12,800.40M,17.73B,0,0.56,0.56,942.50M,2015-12,330.40M,-34.10M,-34.10M,1.037B,109.30M,2.708B,2.587B,514.10M,164.20M,5.394B,0,7.289B,29.82B,583.60M,21.92B,2.587B,22.53B,23.25B,19.94B,-0.90M,2.587B,3.988B
PGR,2015-09,769.20M,17.95B,0,0.48,0.47,956.90M,2015-09,278.30M,-34.50M,-34.50M,1.024B,85.70M,2.714B,2.431B,429.00M,142.50M,5.270B,0,7.462B,29.94B,584.60M,22.31B,2.431B,22.47B,23.27B,20.04B,0,2.431B,4.140B
PGR,2015-06,902.00M,17.52B,0,0.62,0.62,998.90M,2015-06,363.30M,-34.90M,-34.90M,1.019B,176.00M,2.739B,2.253B,525.30M,156.80M,5.278B,0,7.360B,29.30B,585.90M,21.62B,2.253B,21.94B,22.87B,19.69B,0,2.253B,3.867B
PGR,2015-03,1.049B,16.59B,0,0.5,0.5,12.90M,2015-03,295.60M,-32.50M,-32.50M,957.50M,97.20M,2.560B,2.166B,443.20M,147.60M,4.89B,0,7.202B,26.88B,587.30M,20.46B,2.166B,19.68B,21.08B,17.51B,-4.80M,2.166B,3.777B
PGR,2014-12,1.023B,15.81B,0,0.63,0.62,0,2014-12,370.20M,-29.90M,-29.90M,960.60M,98.90M,2.165B,2.298B,546.40M,176.20M,5.171B,0,6.929B,25.79B,587.80M,19.43B,2.298B,18.86B,20.28B,16.56B,0,2.298B,3.538B
PGR,2014-09,972.70M,16.03B,0,0.5,0.5,0,2014-09,296.10M,-30.70M,-30.70M,954.00M,57.40M,2.164B,2.264B,441.80M,145.70M,4.767B,0,6.935B,25.93B,589.20M,19.83B,2.264B,18.99B,20.30B,16.73B,0,2.264B,3.706B
PGR,2014-06,1.039B,15.74B,0,0.5,0.49,0,2014-06,293.40M,-29.60M,-29.60M,952.50M,98.80M,2.208B,2.134B,437.40M,144.00M,4.736B,0,6.789B,25.45B,591.50M,19.40B,2.134B,18.66B,19.97B,16.53B,0,2.134B,3.566B
PGR,2014-03,951.30M,14.48B,0,0.54,0.54,0,2014-03,321.30M,-26.70M,-26.70M,950.00M,51.10M,1.861B,1.912B,481.80M,160.50M,4.704B,0,6.439B,24.32B,593.10M,18.07B,1.912B,17.88B,18.96B,15.97B,0,1.912B,3.516B
PGR,2013-12,951.70M,14.89B,0,0.51,0.5,0,2013-12,299.80M,-26.80M,-26.80M,960.90M,28.40M,1.861B,2.675B,425.60M,125.80M,4.614B,0,6.190B,24.41B,595.80M,18.27B,2.675B,18.22B,19.32B,15.54B,0,2.675B,3.311B
PGR,2013-09,870.90M,15.04B,150.00M,0.39,0.39,0,2013-09,232.40M,-30.40M,-30.40M,955.30M,0,1.861B,1.918B,345.00M,112.60M,4.520B,5.10M,6.793B,24.51B,600.00M,18.63B,2.068B,17.72B,19.20B,15.65B,-4.30M,1.918B,3.501B
PGR,2013-06,814.20M,14.60B,150.00M,0.54,0.54,0,2013-06,324.60M,-30.40M,-30.40M,950.60M,0,1.914B,1.844B,486.30M,161.70M,4.589B,4.80M,6.524B,23.84B,600.40M,18.09B,1.994B,17.32B,18.67B,15.32B,0,1.844B,3.402B
PGR,2013-03,969.70M,14.48B,149.90M,0.51,0.51,0,2013-03,308.60M,-30.60M,-30.60M,935.90M,0,1.914B,1.934B,463.10M,154.50M,4.432B,0,6.390B,23.54B,603.20M,17.92B,2.084B,17.15B,18.45B,15.07B,-0.10M,1.934B,3.372B
PGR,2012-12,871.00M,13.94B,149.90M,0.42,0.41,0,2012-12,249.10M,-30.60M,-30.60M,933.70M,0,1.913B,1.856B,353.50M,104.40M,4.346B,0,6.007B,22.69B,604.60M,17.19B,2.005B,16.69B,17.73B,14.68B,-1.00M,1.856B,3.184B
PGR,2012-09,905.10M,2.586B,499.70M,0.46,0.46,0,2012-09,277.00M,-30.60M,-30.60M,918.20M,0,2.063B,1.848B,412.40M,135.40M,4.421B,0,6.555B,23.43B,604.70M,6.062B,1.848B,16.87B,18.33B,15.03B,-0.70M,1.721B,3.403B
PGR,2012-06,842.70M,1.845B,0,0.2,0.19,0,2012-06,118.60M,-30.70M,-30.70M,914.30M,0,2.063B,1.782B,167.70M,49.10M,4.180B,0,6.287B,22.72B,609.20M,5.286B,1.782B,16.43B,17.72B,14.65B,10.60M,1.771B,3.370B
PGR,2012-03,894.80M,1.676B,0,0.42,0.42,0,2012-03,257.60M,-31.90M,-31.90M,916.40M,0,2.08B,1.721B,384.10M,126.50M,4.123B,0,6.250B,22.27B,611.20M,4.914B,1.721B,16.02B,17.52B,14.30B,1.00M,0,3.168B
PGR,2011-12,692.50M,13.47B,0,0.43,0.41,0,2011-12,256.70M,-36.30M,-36.30M,911.30M,0,1.942B,1.771B,375.40M,118.70M,4.184B,0,5.807B,21.84B,613.00M,16.47B,2.270B,16.04B,17.14B,13.77B,1.30M,0,2.930B
PGR,2011-09,576.60M,1.87B,0,0.24,0.24,0,2011-09,150.70M,-33.40M,-33.40M,910.90M,0,2.444B,1.797B,208.50M,57.80M,3.811B,0,5.816B,22.14B,620.60M,5.038B,1.797B,16.33B,17.15B,14.53B,0,0,3.086B
PGR,2011-06,863.50M,1.493B,0,0.38,0.38,0,2011-06,245.20M,-31.50M,-31.50M,917.10M,0,1.959B,1.652B,357.70M,112.50M,3.873B,0,6.350B,21.81B,642.70M,4.562B,1.652B,15.46B,17.15B,13.81B,0,0,2.983B
