Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
WRB,2018-06,-395.84M,1.384B,0,0,0.95,0.93,178.98M,2018-06,180.08M,98.09M,-39.70M,-39.70M,427.62M,134.36M,2.699B,252.36M,229.24M,48.46M,1.929B,0,5.426B,24.62B,47.02M,5.750B,252.36M,19.16B,15.59B,16.31B,128.73M,252.36M,3.864B
WRB,2018-03,-258.98M,1.453B,0,0,0.88,0.87,178.94M,2018-03,166.40M,75.90M,-37.06M,-37.06M,424.75M,0,2.680B,345.48M,210.99M,43.42M,1.878B,0,5.452B,24.59B,47.02M,5.684B,345.48M,19.10B,15.75B,16.21B,113.56M,345.48M,3.741B
WRB,2017-12,68.54M,1.527B,0,0,0.8133,0.8067,178.94M,2017-12,154.59M,79.68M,-36.88M,-36.88M,422.96M,0,2.497B,257.79M,201.40M,45.13M,1.934B,0,5.411B,24.30B,47.02M,5.745B,257.79M,18.85B,15.86B,16.00B,152.66M,257.79M,3.746B
WRB,2017-09,153.76M,1.388B,0,0,0.86,0.84,173.42M,2017-09,162.05M,74.23M,-36.82M,-36.82M,399.92M,0,2.488B,345.15M,226.11M,63.30M,2.030B,0,5.431B,24.34B,47.02M,5.718B,345.15M,18.87B,16.05B,15.99B,136.76M,345.15M,3.856B
WRB,2017-06,133.30M,1.401B,0,0,0.58,0.5667,144.91M,2017-06,109.00M,96.06M,-36.80M,-36.80M,424.98M,0,2.487B,316.52M,160.96M,51.39M,1.841B,0,5.287B,23.99B,47.02M,5.562B,316.52M,18.67B,15.86B,15.80B,115.99M,316.52M,3.678B
WRB,2017-03,69.49M,1.220B,0,0,0.6733,0.64,144.51M,2017-03,123.45M,103.65M,-36.80M,-36.80M,356.91M,0,2.487B,388.00M,184.30M,59.62M,1.865B,0,5.180B,23.55B,47.02M,5.107B,388.00M,18.33B,15.89B,15.66B,110.87M,388.00M,3.436B
WRB,2016-12,55.57M,1.464B,0,0,0.84,0.8,144.51M,2016-12,152.79M,106.80M,-36.88M,-36.88M,349.43M,0,2.488B,213.13M,231.83M,78.16M,1.972B,0,5.047B,23.36B,47.02M,5.823B,213.13M,18.28B,15.16B,15.55B,130.38M,213.13M,3.945B
WRB,2016-09,-9.808M,1.032B,0,0,1.2,1.147,134.15M,2016-09,220.65M,114.00M,-37.04M,-37.04M,348.17M,0,2.490B,358.51M,331.62M,110.95M,2.022B,0,4.926B,23.35B,47.02M,5.082B,358.51M,18.38B,15.38B,15.51B,131.71M,358.51M,3.621B
WRB,2016-06,57.28M,1.235B,0,0,0.5933,0.5667,154.33M,2016-06,108.97M,142.86M,-34.75M,-34.75M,346.02M,0,2.536B,286.65M,158.31M,49.41M,1.869B,0,4.903B,23.03B,47.02M,5.481B,286.65M,18.09B,14.91B,15.52B,157.86M,286.65M,3.795B
WRB,2016-03,8.124M,979.21M,0,0,0.6467,0.62,153.75M,2016-03,119.51M,149.39M,-32.22M,-32.22M,346.47M,6.811M,2.261B,288.13M,174.68M,54.43M,1.803B,0,4.751B,22.23B,47.02M,5.090B,288.13M,17.44B,14.44B,14.98B,135.21M,288.13M,3.682B
WRB,2015-12,-66.70M,914.50M,0,0,0.5933,0.5667,153.29M,2015-12,109.74M,273.10M,-31.74M,-31.74M,348.22M,37.45M,2.185B,224.75M,156.21M,46.33M,1.386B,0,4.600B,21.73B,47.02M,4.950B,224.75M,17.10B,14.19B,14.61B,148.07M,224.75M,3.641B
WRB,2015-09,28.11M,1.058B,0,0,0.8267,0.7867,153.28M,2015-09,152.61M,286.27M,-31.64M,-31.64M,336.82M,0,2.179B,230.01M,228.92M,76.18M,1.867B,0,4.583B,21.74B,47.02M,5.142B,230.01M,17.12B,14.11B,14.64B,141.11M,230.01M,3.684B
WRB,2015-06,86.06M,909.88M,0,0,0.66,0.6333,150.68M,2015-06,123.04M,259.41M,-33.03M,-33.03M,332.02M,0,2.184B,225.21M,178.19M,55.14M,1.787B,0,4.502B,21.69B,47.02M,4.696B,225.21M,17.15B,14.55B,14.72B,136.63M,225.21M,3.371B
WRB,2015-03,152.06M,789.40M,0,0,0.6267,0.5933,150.55M,2015-03,118.31M,280.77M,-34.54M,-34.54M,327.23M,0,2.453B,404.82M,168.72M,50.27M,1.653B,0,4.579B,21.85B,47.02M,4.426B,404.82M,17.23B,14.97B,14.74B,128.14M,404.82M,3.226B
WRB,2014-12,183.55M,845.43M,0,0,0.58,0.5533,150.94M,2014-12,110.71M,322.01M,-34.60M,-34.60M,332.10M,0,2.456B,237.27M,162.70M,51.75M,2.082B,0,4.590B,21.72B,47.02M,4.834B,237.27M,17.09B,14.50B,14.60B,150.04M,237.27M,3.593B
WRB,2014-09,273.54M,1.564B,0,0,0.9867,0.9467,103.34M,2014-09,188.54M,343.30M,-32.93M,-32.93M,333.94M,0,2.462B,368.73M,278.45M,89.66M,1.742B,0,4.709B,22.10B,47.02M,5.116B,368.73M,17.35B,14.85B,14.68B,142.34M,368.73M,3.134B
WRB,2014-06,333.90M,1.100B,0,0,0.94,0.9,103.56M,2014-06,179.96M,655.69M,-30.31M,-30.31M,335.74M,0,2.037B,297.23M,263.45M,83.28M,1.691B,0,4.620B,21.17B,47.02M,4.802B,297.23M,16.51B,14.50B,14.12B,139.55M,297.23M,3.270B
WRB,2014-03,258.88M,966.35M,0,0,0.8733,0.8333,110.24M,2014-03,169.67M,373.17M,-30.33M,-30.33M,337.98M,0,2.033B,295.87M,247.58M,77.90M,1.614B,0,4.376B,20.70B,47.02M,4.605B,295.87M,16.29B,14.11B,13.90B,126.84M,295.87M,3.235B
WRB,2013-12,189.39M,1.123B,0,0,0.6467,0.62,110.15M,2013-12,130.38M,343.58M,-30.51M,-30.51M,339.45M,0,2.032B,276.76M,181.73M,46.34M,1.578B,0,4.336B,20.55B,47.02M,4.911B,276.76M,16.18B,13.55B,13.66B,158.20M,276.76M,3.420B
WRB,2013-09,217.48M,1.305B,0,69.97M,0.6733,0.6467,113.17M,2013-09,136.97M,411.85M,-30.35M,-30.35M,336.52M,60.26M,2.036B,285.15M,198.23M,60.04M,1.526B,407.15M,4.367B,20.52B,47.02M,4.985B,285.15M,16.13B,13.78B,13.58B,138.11M,285.15M,3.299B
WRB,2013-06,210.22M,1.094B,0,31.66M,0.5667,0.5467,112.74M,2013-06,115.96M,359.18M,-31.21M,-31.21M,291.83M,2.835M,2.036B,337.37M,158.71M,43.58M,1.494B,403.66M,4.239B,20.21B,47.02M,4.748B,337.37M,15.95B,13.89B,13.47B,112.47M,337.37M,3.272B
WRB,2013-03,428.59M,1.345B,0,1.701M,0.5733,0.5533,107.53M,2013-03,116.62M,456.53M,-31.11M,-31.11M,271.01M,0,1.937B,403.37M,160.22M,43.62M,1.413B,0,4.379B,20.12B,47.02M,4.665B,403.37M,15.71B,13.92B,13.12B,124.29M,403.37M,2.975B
WRB,2012-12,465.63M,1.282B,0,0,0.8133,0.78,87.86M,2012-12,165.49M,401.96M,-32.55M,-32.55M,267.23M,0,2.115B,316.39M,232.49M,66.99M,1.538B,0,4.306B,20.16B,47.02M,4.936B,316.39M,15.82B,13.65B,13.18B,109.49M,316.39M,3.338B
WRB,2012-09,508.15M,1.190B,0,0,0.4933,0.4733,87.86M,2012-09,100.95M,371.41M,-32.51M,-32.51M,258.37M,0,2.121B,303.42M,133.69M,32.68M,1.354B,0,4.324B,19.93B,47.02M,3.303B,373.39M,15.60B,13.92B,14.31B,96.79M,303.42M,1.802B
WRB,2012-06,416.36M,1.012B,0,0,0.5267,0.5067,87.86M,2012-06,108.84M,325.07M,-32.42M,-32.42M,264.41M,0,2.108B,314.76M,148.44M,39.54M,1.360B,0,4.208B,19.46B,47.02M,2.941B,346.42M,15.25B,13.64B,14.02B,86.00M,314.76M,1.623B
WRB,2012-03,393.26M,1.082B,0,0,0.6533,0.6267,90.17M,2012-03,135.32M,357.12M,-28.82M,-28.82M,268.23M,0,2.097B,268.29M,187.30M,52.07M,1.330B,0,4.127B,19.13B,47.02M,3.047B,269.99M,15.00B,13.62B,13.87B,82.93M,268.29M,1.690B
WRB,2011-12,354.85M,1.355B,0,0,0.5667,0.5467,87.86M,2011-12,117.03M,263.19M,-28.20M,-28.20M,262.28M,0,1.744B,241.20M,148.72M,31.66M,1.124B,0,3.953B,18.40B,47.02M,4.363B,241.20M,14.44B,12.96B,12.17B,186.49M,241.20M,2.750B
WRB,2011-09,335.74M,866.13M,0,0,0.3667,0.3533,90.58M,2011-09,76.41M,283.56M,-28.07M,-28.07M,263.69M,0,1.745B,254.12M,96.15M,19.78M,1.280B,0,3.862B,18.33B,47.02M,2.720B,254.12M,14.46B,12.48B,13.28B,471.54M,254.12M,1.579B
WRB,2011-06,340.74M,794.88M,0,0,0.3867,0.3733,90.58M,2011-06,82.18M,311.66M,-28.13M,-28.13M,254.79M,0,1.745B,264.93M,109.03M,26.91M,1.271B,0,3.913B,18.20B,47.02M,2.585B,264.93M,14.28B,13.12B,13.17B,347.80M,264.93M,1.515B
